Scene,Title,Story shots,Generation segments,Story seconds,Generation seconds,Workflow
PS-S01,A man had two sons,4,4,45,45.0,Scene_01_A_man_had_two_sons.json
PS-S02,The work between them,6,6,90,90.0,Scene_02_The_work_between_them.json
PS-S03,Two gifts,6,6,85,85.0,Scene_03_Two_gifts.json
PS-S04,The request,9,9,135,135.0,Scene_04_The_request.json
PS-S05,Brothers at the gate,6,6,90,90.0,Scene_05_Brothers_at_the_gate.json
PS-S06,The division,5,5,70,70.0,Scene_06_The_division.json
PS-S07,Leaving,5,5,60,60.0,Scene_07_Leaving.json
PS-S08,The wider world,4,4,45,45.0,Scene_08_The_wider_world.json
PS-S09,A place at the table,5,5,75,75.0,Scene_09_A_place_at_the_table.json
PS-S10,The cost of being welcomed,6,6,80,80.0,Scene_10_The_cost_of_being_welcomed.json
PS-S11,The son who remains,5,5,75,75.0,Scene_11_The_son_who_remains.json
PS-S12,The last silver,6,6,70,70.0,Scene_12_The_last_silver.json
PS-S13,Hunger,7,7,75,75.0,Scene_13_Hunger.json
PS-S14,What duty has become,5,5,70,70.0,Scene_14_What_duty_has_become.json
PS-S15,Coming to himself,9,6,105,81.0,Scene_15_Coming_to_himself.json
PS-S16,The unfinished course,5,5,75,75.0,Scene_16_The_unfinished_course.json
PS-S17,The way back,7,7,80,80.0,Scene_17_The_way_back.json
PS-S18,The father runs,8,8,120,120.0,Scene_18_The_father_runs.json
PS-S19,Restored to the house,9,9,90,90.0,Scene_19_Restored_to_the_house.json
PS-S20,Outside the feast,5,5,65,65.0,Scene_20_Outside_the_feast.json
PS-S21,The father comes out,10,10,145,145.0,Scene_21_The_father_comes_out.json
PS-S22,The invitation remains,2,2,25,25.0,Scene_22_The_invitation_remains.json
